NPs,Coating,Core_size,Shape,Dose,Type(Gram( +/-),Class,Family,Species,Duration,ZOI
Ag,coated,11.2,spherical,3000.0,p,Bacilli,Lactobacillaceae,Lactobacillus reuteri,24.0,28.0
Ag,coated,11.2,spherical,1500.0,p,Bacilli,Lactobacillaceae,Lactobacillus reuteri,24.0,23.0
Ag,coated,11.2,spherical,750.0,p,Bacilli,Lactobacillaceae,Lactobacillus reuteri,24.0,19.0
Ag,coated,11.2,spherical,370.0,p,Bacilli,Lactobacillaceae,Lactobacillus reuteri,24.0,21.0
Ag,coated,11.2,spherical,180.0,p,Bacilli,Lactobacillaceae,Lactobacillus reuteri,24.0,18.0
Ag,coated,28.0,spherical,31.25,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,8.5
Ag,coated,29.0,spherical,31.25,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,4.5
Ag,uncoated,9.0,spherical,62.5,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,18.0
Ag,uncoated,9.0,spherical,62.5,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,14.3
Ag,uncoated,9.0,spherical,62.5,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,12.8
Ag,uncoated,9.0,spherical,62.5,n,Gammaproteobacteria,Enterobacteriaceae,Salmonella typhi,24.0,15.0
Ag,uncoated,9.0,spherical,31.25,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,17.6
Ag,uncoated,9.0,spherical,31.25,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,12.6
Ag,uncoated,9.0,spherical,31.25,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,12.0
Ag,uncoated,9.0,spherical,31.25,n,Gammaproteobacteria,Enterobacteriaceae,Salmonella typhi,24.0,14.3
Ag,uncoated,9.0,spherical,15.625,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,13.3
Ag,uncoated,9.0,spherical,15.625,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,12.0
Ag,uncoated,9.0,spherical,15.625,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,11.8
Ag,uncoated,9.0,spherical,15.625,n,Gammaproteobacteria,Enterobacteriaceae,Salmonella typhi,24.0,13.0
Ag,uncoated,9.0,spherical,7.812,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,11.0
Ag,uncoated,9.0,spherical,7.812,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,11.6
Ag,uncoated,9.0,spherical,7.812,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,11.3
Ag,uncoated,9.0,spherical,7.812,n,Gammaproteobacteria,Enterobacteriaceae,Salmonella typhi,24.0,11.0
