feature,importance,std
Dose_log,0.559141709664241,0.09163751700205235
Core_size_log,0.2728184323526485,0.03474856955679648
Duration,0.1649736106868788,0.038897525897593446
Species_Streptococcus mutans,0.0762664002163166,0.0064177734181985815
NPs_TiO2,0.046492825393123736,0.01224860457875169
NPs_NiO,0.04405989890921106,0.0107275640101286
NPs_Ag,0.04390705575008649,0.01961881988033947
NPs_Au,0.038895377601668564,0.011141244516012236
Shape_petal,0.032187547437472167,0.012642648020827294
Shape_quasi-spherical,0.02809186412840928,0.0072938871970076365
Shape_spherical,0.027818347439837555,0.009151588351690278
Family_Bacillaceae,0.02446861744047846,0.0072649785469595055
Species_Klebsiella pneumoniae,0.022265321654447157,0.004580573562617866
Family_Enterobacteriaceae,0.014046351856998504,0.009331295425179659
Species_Staphylococcus aureus,0.013329348693514749,0.010759308940961469
NPs_CuO,0.012572327397507195,0.0042849899718232195
Family_Enterococcaceae,0.010653452716021338,0.006090247664400371
Species_Enterococcus faecalis,0.007183778955652172,0.005568680792574807
Shape_rod,0.0065232633387530235,0.002679833848926346
Species_Bacillus subtilis,0.005510974923163444,0.004139575005286522
NPs_ZnO,0.0052550101737300165,0.0036530900671851935
Coating_uncoated,0.005236636297230316,0.0021363773756818277
Species_Proteus mirabilis,0.003836604340246101,0.0028446804077984747
Type(Gram( +/-)_p,0.0034293204349561917,0.0017242568778665292
Shape_irregular,0.0031236695996462766,0.0027270600015688825
Coating_coated,0.0030928697306462677,0.002608619080320045
Family_Lactobacillaceae,0.0030466284706343826,0.0034921726094347704
Class_Bacilli,0.002753238125707517,0.001005352173520199
Species_Escherichia coli,0.0024177156161249566,0.005101073418200815
Species_Salmonella typhi,0.0019992545126030882,0.0027104972139914366
Class_Gammaproteobacteria,0.001974497957225885,0.0014966387177075475
Species_Lactobacillus reuteri,0.0018105856186364845,0.003677869280272653
Species_Proteus vulgaris,0.001327449062255944,0.0029857290117242022
Species_Salmonella enterica,0.000849897709899039,0.002233573756559663
Family_Morganellaceae,0.00017414472561197992,0.0006851889311837379
Family_Staphylococcaceae,0.00012607946993040315,0.001539126208553348
Species_Streptococcus pyogenes,6.633956466502629e-05,0.00018871033234660014
Species_Shigella flexneri,4.6101956745773594e-05,0.0027080343950560987
Species_Listeria monocytogenes,0.0,0.0
Species_Escherichia hermanni,0.0,0.0
Species_Erwinia amylovora,0.0,0.0
Species_Ralstonia solanacearum,0.0,0.0
Species_Pseudomonas sp.,0.0,0.0
Species_Stenotrophomonas maltophilia,0.0,0.0
Species_Salmonella typhimurium,0.0,0.0
Species_Enterobacter aerogenes,0.0,0.0
Species_Streptococcus faecalis,0.0,0.0
Species_Staphylococcus epidermidis,0.0,0.0
Species_Serratia marcescens,0.0,0.0
Family_Pasteurellaceae,0.0,0.0
Species_Corynebacterium species,0.0,0.0
Family_Erwiniaceae,0.0,0.0
Shape_asymmetrical,0.0,0.0
Shape_cubic,0.0,0.0
Shape_platelet,0.0,0.0
Shape_rhombohedral,0.0,0.0
Shape_star,0.0,0.0
Class_Actinomycetes,0.0,0.0
Class_Betaproteobacteria,0.0,0.0
Family_Burkholderiaceae,0.0,0.0
Species_Bacillus licheniformis,0.0,0.0
Family_Corynebacteriaceae,0.0,0.0
Family_Listeriaceae,0.0,0.0
Family_Xanthomonadaceae,0.0,0.0
Family_Yersiniaceae,0.0,0.0
Species_Aggregatibacter actinomycetemcomitans,0.0,0.0
Species_Bacillus cereus,0.0,0.0
Species_Yersinia enterocolitica,0.0,0.0
Species_Streptococcus pneumoniae,-3.684026961373969e-06,1.769862904362258e-05
Shape_tetragonal,-0.00010664730768650266,0.0
Family_Vibrionaceae,-0.00019720381740416423,0.0002621247795205521
Type(Gram( +/-)_n,-0.0003669200034949342,0.00033595800501577834
Species_Vibrio cholerae,-0.0004850680836506601,0.0006340480825303817
Family_Pseudomonadaceae,-0.001991234631029411,0.0012584182886144044
Species_Micrococcus luteus,-0.0023160884044779043,0.0007762036107393874
Family_Micrococcaceae,-0.00241010550747206,0.000868283926518781
Species_Pseudomonas aeruginosa,-0.004393178674886551,0.0017019398116810845
